Unnamed: 0,ID,Innings,Venue,batsman1,batsman2,batsman3,batsman4,batsman5,batsman6,bowler1,bowler2,bowler3,bowler4,bowler5,tot_runs_x,batsman1_strike_rate,batsman1_batting_avg,batsman2_strike_rate,batsman2_batting_avg,batsman3_strike_rate,batsman3_batting_avg,batsman4_strike_rate,batsman4_batting_avg,batsman5_strike_rate,batsman5_batting_avg,batsman6_strike_rate,batsman6_batting_avg,bowler1_economy,bowler1_bowling_avg,bowler2_economy,bowler2_bowling_avg,bowler3_economy,bowler3_bowling_avg,bowler4_economy,bowler4_bowling_avg,bowler5_economy,bowler5_bowling_avg,tot_runs_y
227,1254078,2,"Narendra Modi Stadium, Ahmedabad",RA Tripathi,Shubman Gill,EJG Morgan,SP Narine,N Rana,,MC Henriques,Arshdeep Singh,Mohammed Shami,,,42,121.82450138036552,33.869565217391305,110.46081606291246,40.09090909090909,75.8948248720976,22.0,143.6289662063656,19.558823529411764,98.63062767108045,38.785714285714285,0.0,0.0,8.235294117647058,31.11111111111111,8.280701754385966,31.466666666666665,7.651933701657459,47.75862068965517,0.0,0.0,0.0,0.0,46.07142857142857
4,1312198,1,"Eden Gardens, Kolkata",RM Patidar,F du Plessis,V Kohli,,,,Avesh Khan,Mohsin Khan,KH Pandya,PVD Chameera,,52,84.65920190920191,53.5,112.06102799701122,43.52941176470589,101.37329644052625,37.45614035087719,0.0,0.0,0.0,0.0,0.0,0.0,8.275862068965518,30.0,5.5625,14.833333333333334,7.524590163934426,35.30769230769231,8.416666666666666,28.857142857142858,0.0,0.0,58.25
5,1312198,2,"Eden Gardens, Kolkata",Q de Kock,KL Rahul,M Vohra,DJ Hooda,,,Mohammed Siraj,JR Hazlewood,Shahbaz Ahmed,,,62,114.36517255005649,37.13636363636363,112.9144170865236,57.142857142857146,109.75673993932396,28.375,94.33643279797124,89.0,0.0,0.0,0.0,0.0,8.808080808080808,41.523809523809526,7.452830188679245,32.916666666666664,8.923076923076923,116.0,0.0,0.0,0.0,0.0,58.25
6,1312197,1,"Eden Gardens, Kolkata",YBK Jaiswal,SV Samson,JC Buttler,,,,Yash Dayal,Mohammed Shami,AS Joseph,,,55,115.0545237057554,30.5,105.5171190834352,30.27272727272728,125.41178130297332,49.2,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,28.0,7.651933701657459,47.75862068965517,9.923076923076923,64.5,0.0,0.0,0.0,0.0,58.25
7,1312197,2,"Eden Gardens, Kolkata",Shubman Gill,MS Wade,WP Saha,,,,R Ashwin,TA Boult,M Prasidh Krishna,,,64,110.46081606291246,40.09090909090909,104.71890682417,22.6,113.21910425644934,27.77142857142857,0.0,0.0,0.0,0.0,0.0,0.0,6.721590909090909,25.717391304347824,7.2988505747126435,31.75,8.170454545454545,47.93333333333333,0.0,0.0,0.0,0.0,58.25
8,1304116,1,"Wankhede Stadium, Mumbai",RA Tripathi,Abhishek Sharma,PK Garg,,,,K Rabada,NT Ellis,Arshdeep Singh,LS Livingstone,,43,121.82450138036552,33.869565217391305,116.19602491806438,42.57142857142857,85.43956043956044,20.5,0.0,0.0,0.0,0.0,0.0,0.0,8.195876288659793,31.8,7.0,35.0,8.280701754385966,31.466666666666665,5.0,10.0,0.0,0.0,45.17741935483871
9,1304116,2,"Wankhede Stadium, Mumbai",S Dhawan,M Shahrukh Khan,JM Bairstow,,,,J Suchith,Washington Sundar,B Kumar,Fazalhaq Farooqi,,62,108.27256295114648,38.036144578313255,71.42857142857143,15.0,127.58245210860524,49.642857142857146,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,34.666666666666664,7.43859649122807,35.333333333333336,6.171821305841925,32.654545454545456,5.8,29.0,0.0,0.0,45.17741935483871
10,1304115,1,"Wankhede Stadium, Mumbai",DA Warner,PP Shaw,MR Marsh,SN Khan,RR Pant,,DR Sams,JJ Bumrah,HR Shokeen,,,37,113.20491191289184,45.21875,123.27105957556392,29.71052631578948,114.64318064182194,38.333333333333336,130.08658008658008,25.0,105.8238591119026,52.0,0.0,0.0,7.133333333333334,26.75,6.858064516129033,34.29032258064516,6.5,26.0,0.0,0.0,0.0,0.0,45.17741935483871
11,1304115,2,"Wankhede Stadium, Mumbai",D Brevis,RG Sharma,Ishan Kishan,,,,KK Ahmed,MR Marsh,A Nortje,SN Thakur,,27,108.97402597402598,32.5,96.96599230179808,30.25925925925926,97.1470798503979,56.583333333333336,0.0,0.0,0.0,0.0,0.0,0.0,8.203125,32.8125,8.928571428571429,31.25,7.882352941176471,26.8,8.724137931034482,36.142857142857146,0.0,0.0,45.17741935483871
14,1304113,1,"Wankhede Stadium, Mumbai",Shubman Gill,MS Wade,WP Saha,HH Pandya,,,Shahbaz Ahmed,GJ Maxwell,JR Hazlewood,S Kaul,,38,110.46081606291246,40.09090909090909,104.71890682417,22.6,113.21910425644934,27.77142857142857,77.02075702075702,31.0,0.0,0.0,0.0,0.0,8.923076923076923,116.0,9.0,45.0,7.452830188679245,32.916666666666664,9.155172413793103,44.25,0.0,0.0,45.17741935483871
15,1304113,2,"Wankhede Stadium, Mumbai",F du Plessis,V Kohli,,,,,Yash Dayal,Rashid Khan,Mohammed Shami,HH Pandya,,55,112.06102799701122,43.52941176470589,101.37329644052625,37.45614035087719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,28.0,7.857142857142857,30.55555555555556,7.651933701657459,47.75862068965517,8.513513513513514,45.0,0.0,0.0,45.17741935483871
18,1304111,1,"Wankhede Stadium, Mumbai",RA Tripathi,Abhishek Sharma,PK Garg,,,,DR Sams,R Sanjay Yadav,JJ Bumrah,RP Meredith,,57,121.82450138036552,33.869565217391305,116.19602491806438,42.57142857142857,85.43956043956044,20.5,0.0,0.0,0.0,0.0,0.0,0.0,7.133333333333334,26.75,8.0,8.0,6.858064516129033,34.29032258064516,8.214285714285714,57.5,0.0,0.0,45.17741935483871
19,1304111,2,"Wankhede Stadium, Mumbai",RG Sharma,Ishan Kishan,,,,,Washington Sundar,B Kumar,T Natarajan,Fazalhaq Farooqi,,51,96.96599230179808,30.25925925925926,97.1470798503979,56.583333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43859649122807,35.333333333333336,6.171821305841925,32.654545454545456,8.121212121212121,29.77777777777778,5.8,29.0,0.0,0.0,45.17741935483871
24,1304108,1,"Wankhede Stadium, Mumbai",MM Ali,RD Gaikwad,DP Conway,,,,Yash Dayal,Rashid Khan,Mohammed Shami,HH Pandya,,47,83.59589314194577,26.857142857142858,93.97268274792168,34.8,89.7013366750209,28.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,28.0,7.857142857142857,30.55555555555556,7.651933701657459,47.75862068965517,8.513513513513514,45.0,0.0,0.0,45.17741935483871
25,1304108,2,"Wankhede Stadium, Mumbai",Shubman Gill,WP Saha,,,,,MJ Santner,Mukesh Choudhary,Simarjeet Singh,,,53,110.46081606291246,40.09090909090909,113.21910425644934,27.77142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.461538461538462,55.0,8.5625,24.90909090909091,8.466666666666667,42.333333333333336,0.0,0.0,0.0,0.0,45.17741935483871
30,1304105,1,"Wankhede Stadium, Mumbai",AT Rayudu,MM Ali,DP Conway,S Dube,RD Gaikwad,RV Uthappa,DR Sams,JJ Bumrah,RP Meredith,,,32,86.67248748801266,33.78260869565217,83.59589314194577,26.857142857142858,89.7013366750209,28.33333333333333,67.22222222222223,30.0,93.97268274792168,34.8,110.56833854761078,33.95,7.133333333333334,26.75,6.858064516129033,34.29032258064516,8.214285714285714,57.5,0.0,0.0,0.0,0.0,45.17741935483871
31,1304105,2,"Wankhede Stadium, Mumbai",RG Sharma,HR Shokeen,DR Sams,T Stubbs,Tilak Varma,Ishan Kishan,Mukesh Choudhary,Simarjeet Singh,,,,36,96.96599230179808,30.25925925925926,20.0,1.0,14.285714285714285,1.0,0.0,0.0,64.62962962962963,19.0,97.1470798503979,56.583333333333336,8.5625,24.90909090909091,8.466666666666667,42.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,45.17741935483871
40,1304100,1,"Wankhede Stadium, Mumbai",RM Patidar,F du Plessis,V Kohli,,,,J Suchith,Kartik Tyagi,B Kumar,Fazalhaq Farooqi,,47,84.65920190920191,53.5,112.06102799701122,43.52941176470589,101.37329644052625,37.45614035087719,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,34.666666666666664,10.238095238095235,53.75,6.171821305841925,32.654545454545456,5.8,29.0,0.0,0.0,45.17741935483871
41,1304100,2,"Wankhede Stadium, Mumbai",AK Markram,RA Tripathi,Abhishek Sharma,,,,Mohammed Siraj,JR Hazlewood,GJ Maxwell,Shahbaz Ahmed,,39,68.734335839599,25.0,121.82450138036552,33.869565217391305,116.19602491806438,42.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,8.808080808080808,41.523809523809526,7.452830188679245,32.916666666666664,9.0,45.0,8.923076923076923,116.0,0.0,0.0,45.17741935483871
44,1304098,1,"Wankhede Stadium, Mumbai",PBB Rajapaksa,S Dhawan,JM Bairstow,,,,R Ashwin,KR Sen,TA Boult,M Prasidh Krishna,,48,124.76851851851852,18.666666666666668,108.27256295114648,38.036144578313255,127.58245210860524,49.642857142857146,0.0,0.0,0.0,0.0,0.0,0.0,6.721590909090909,25.717391304347824,8.5,17.0,7.2988505747126435,31.75,8.170454545454545,47.93333333333333,0.0,0.0,45.17741935483871
45,1304098,2,"Wankhede Stadium, Mumbai",YBK Jaiswal,SV Samson,JC Buttler,,,,K Rabada,Sandeep Sharma,Arshdeep Singh,,,67,115.0545237057554,30.5,105.5171190834352,30.27272727272728,125.41178130297332,49.2,0.0,0.0,0.0,0.0,0.0,0.0,8.195876288659793,31.8,6.986899563318778,29.62962962962963,8.280701754385966,31.466666666666665,0.0,0.0,0.0,0.0,45.17741935483871
54,1304093,1,"Wankhede Stadium, Mumbai",SV Samson,D Padikkal,JC Buttler,,,,UT Yadav,AS Roy,SP Narine,,,38,105.5171190834352,30.27272727272728,101.5529136002946,33.21052631578947,125.41178130297332,49.2,0.0,0.0,0.0,0.0,0.0,0.0,7.829383886255924,31.16981132075472,8.0,24.0,6.692857142857143,39.04166666666666,0.0,0.0,0.0,0.0,45.17741935483871
