,ID,innings,total_run,Venue,batter1,batter2,batter3,batter4,batter5,bowler1,bowler2,bowler3,bowler4
0,1312200,1,61,26,125,17,146,89,84,141,250,10,141
1,1312200,2,26,26,102,164,183,49,26,11,89,11,141
2,1312199,1,53,26,96,92,106,89,84,31,205,114,141
3,1312199,2,63,26,57,64,124,89,84,84,155,173,141
4,1312198,1,40,12,140,169,169,68,84,64,34,155,141
5,1312198,2,55,12,41,159,149,89,84,123,219,236,141
6,1312197,1,47,12,65,147,47,110,88,141,250,105,141
7,1312197,2,40,12,118,113,96,89,84,4,215,69,141
8,1304116,1,39,47,6,167,187,2,84,11,89,11,141
9,1304116,2,26,47,150,17,146,118,30,213,195,230,141
10,1304115,1,54,47,57,64,83,89,84,123,219,236,141
11,1304115,2,53,47,69,169,92,129,35,31,205,114,141
12,1304114,1,25,4,6,167,187,2,84,64,157,173,141
13,1304114,2,48,4,41,159,149,89,84,213,195,173,141
14,1304113,1,53,47,96,92,106,121,84,183,5,69,141
15,1304113,2,52,47,65,147,147,123,84,84,155,173,141
16,1304112,1,58,8,6,162,174,2,84,123,219,273,141
17,1304112,2,73,8,64,44,193,89,84,213,195,191,141
18,1304111,1,60,47,57,52,83,89,84,183,5,69,141
19,1304111,2,39,47,65,147,147,27,84,31,92,264,189
20,1304110,1,57,8,118,113,96,49,84,187,227,160,141
21,1304110,2,45,8,42,80,193,129,84,141,250,206,141
22,1304109,1,61,4,125,17,146,150,30,84,155,182,141
23,1304109,2,45,4,96,92,124,89,84,11,89,11,141
24,1304108,1,27,47,65,147,16,110,105,160,67,228,211
25,1304108,2,60,47,6,162,124,89,84,4,215,69,206
26,1304107,1,45,25,41,159,149,136,84,31,92,226,227
27,1304107,2,55,25,57,137,83,33,84,64,157,155,141
28,1304106,1,36,4,96,92,106,89,84,60,250,184,141
29,1304106,2,45,4,17,164,96,89,84,84,155,173,141
30,1304105,1,40,47,20,133,146,25,30,183,5,55,62
31,1304105,2,38,47,11,147,109,110,28,10,89,12,141
32,1304104,1,58,8,41,159,149,89,84,60,250,184,141
33,1304104,2,55,8,94,76,188,49,89,64,157,267,141
34,1304103,1,50,25,6,162,62,89,84,173,92,264,141
35,1304103,2,41,25,126,123,124,89,84,160,67,249,190
36,1304102,1,45,8,42,131,97,89,84,11,89,11,222
37,1304102,2,51,8,137,133,6,18,84,187,227,236,141
38,1304101,1,47,8,96,139,152,89,84,64,157,267,152
39,1304101,2,64,8,41,159,124,89,84,113,155,97,141
40,1304100,1,41,47,6,49,124,89,84,2,74,105,141
41,1304100,2,43,47,52,164,121,89,84,213,195,228,60
42,1304099,1,49,25,126,64,83,89,84,73,11,12,141
43,1304099,2,31,25,87,133,27,25,64,173,92,173,141
44,1304098,1,50,47,154,147,124,89,84,64,157,267,141
45,1304098,2,37,47,41,159,149,4,84,183,5,60,141
46,1304097,1,38,4,96,130,163,121,100,197,219,160,196
47,1304097,2,44,4,42,131,124,89,84,113,155,173,141
48,1304096,1,26,4,149,25,73,146,89,173,92,77,141
49,1304096,2,52,4,126,64,145,89,84,60,250,184,91
50,1304095,1,34,25,96,126,163,121,100,56,195,230,141
51,1304095,2,50,25,6,49,155,89,84,113,155,97,141
52,1304094,1,48,8,42,131,193,129,84,183,5,69,141
53,1304094,2,34,8,154,147,124,89,84,197,150,236,141
54,1304093,1,50,47,41,159,7,113,84,127,97,173,141
55,1304093,2,62,47,122,139,124,89,84,64,157,267,152
56,1304092,1,41,25,0,19,156,29,84,60,250,184,165
57,1304092,2,35,25,48,128,119,101,84,11,89,259,193
58,1304091,1,50,47,6,49,124,89,84,197,219,160,141
59,1304091,2,50,47,42,169,124,89,84,56,195,230,154
60,1304090,1,36,8,85,140,121,89,84,183,5,55,141
61,1304090,2,39,8,134,143,124,89,84,2,74,184,165
62,1304089,1,53,4,122,136,163,112,84,173,92,264,141
63,1304089,2,35,4,126,64,80,108,84,127,97,173,141
64,1304088,1,43,25,137,133,2,89,84,213,69,230,172
65,1304088,2,55,25,6,49,43,117,95,11,89,259,141
66,1304087,1,47,47,41,159,124,89,84,13,219,160,141
67,1304087,2,21,47,153,44,97,129,84,64,144,188,141
68,1304086,1,50,47,48,158,121,101,26,173,92,190,141
69,1304086,2,42,47,126,64,124,89,84,60,250,184,141
70,1304085,1,35,25,137,0,124,89,84,64,176,267,141
71,1304085,2,37,25,41,159,7,78,125,196,89,12,141
72,1304084,1,28,47,122,139,158,112,84,183,5,60,141
73,1304084,2,78,47,134,143,124,89,84,127,97,173,141
74,1304083,1,51,47,126,64,124,89,84,123,219,194,141
75,1304083,2,38,47,69,102,195,129,84,76,205,114,141
76,1304082,1,48,4,41,159,149,89,84,56,195,189,141
77,1304082,2,71,4,6,150,62,89,84,64,157,155,141
78,1304081,1,27,8,137,0,156,29,81,183,5,60,141
79,1304081,2,68,8,134,143,147,32,84,196,89,11,141
80,1304080,1,68,47,41,159,124,89,84,173,92,264,141
81,1304080,2,73,47,126,64,196,63,32,64,176,2,225
82,1304079,1,51,8,42,131,124,89,84,218,172,105,141
83,1304079,2,23,8,48,158,121,49,26,197,150,173,141
84,1304078,1,57,4,134,143,47,89,84,56,67,271,172
85,1304078,2,32,4,6,150,141,152,63,4,60,55,175
86,1304077,1,35,8,137,99,156,25,84,113,155,173,141
87,1304077,2,43,8,96,139,124,89,84,196,89,12,13
88,1304076,1,41,4,52,15,164,89,84,64,176,267,141
89,1304076,2,71,4,41,159,124,89,84,60,250,184,91
90,1304075,1,32,25,137,99,156,89,84,197,150,244,141
91,1304075,2,42,25,42,131,176,129,84,11,89,11,222
92,1304074,1,43,8,126,64,94,89,84,183,5,266,141
93,1304074,2,68,8,134,143,51,89,84,173,92,264,141
94,1304073,1,23,47,52,140,183,101,84,113,155,173,141
95,1304073,2,44,47,96,139,124,89,84,60,172,1,91
96,1304072,1,42,4,6,49,124,89,84,173,239,216,141
97,1304072,2,74,4,126,67,124,89,84,160,69,271,192
98,1304071,1,60,4,134,143,124,89,84,64,34,155,229
99,1304071,2,56,4,41,159,149,78,84,183,5,5,62
100,1304070,1,67,8,42,131,124,89,84,113,155,97,141
101,1304070,2,65,8,96,139,158,89,84,197,247,160,157
102,1304069,1,46,25,17,164,183,89,84,56,195,230,211
103,1304069,2,33,25,6,162,62,104,84,60,250,184,141
104,1304068,1,47,8,126,64,83,89,84,207,89,40,141
105,1304068,2,51,8,137,133,42,29,84,76,205,216,141
106,1304067,1,29,8,134,143,124,89,84,197,219,194,234
107,1304067,2,36,8,64,131,193,129,84,183,5,55,141
108,1304066,1,26,47,6,49,155,152,84,113,155,173,141
109,1304066,2,44,47,96,139,158,89,84,160,69,249,141
110,1304065,1,58,4,42,131,124,89,84,64,157,267,141
111,1304065,2,28,4,41,159,149,78,124,197,219,160,141
112,1304064,1,35,25,126,64,83,155,33,112,137,165,141
113,1304064,2,35,25,96,130,158,89,84,76,205,216,227
114,1304063,1,42,8,96,130,158,89,84,197,219,160,234
115,1304063,2,41,8,91,131,92,89,84,113,155,173,141
116,1304062,1,40,4,134,143,149,89,84,127,229,0,141
117,1304062,2,40,4,96,136,111,0,84,181,250,60,141
118,1304061,1,29,8,50,76,89,110,89,13,126,160,141
119,1304061,2,14,8,42,131,125,139,84,141,74,206,141
120,1304060,1,67,25,113,65,124,89,84,55,21,188,229
121,1304060,2,58,25,41,159,124,89,84,76,246,265,227
122,1304059,1,21,47,20,24,156,18,0,62,195,84,141
123,1304059,2,37,47,6,49,187,104,84,11,89,173,141
124,1304058,1,68,8,96,92,124,89,84,141,74,105,165
125,1304058,2,46,8,94,59,147,65,84,127,129,97,141
126,1304057,1,46,4,113,65,66,89,84,73,12,154,141
127,1304057,2,60,4,20,24,27,89,84,76,246,265,141
128,1304056,1,62,25,6,49,187,89,84,141,74,105,141
129,1304056,2,31,25,50,59,147,59,84,62,195,84,141
130,1304055,1,59,8,41,1,184,141,84,107,155,97,1
131,1304055,2,61,8,96,92,158,89,84,55,5,22,152
132,1304054,1,54,47,42,108,142,153,84,73,30,11,141
133,1304054,2,38,47,27,17,95,89,84,216,15,173,141
134,1304053,1,49,4,50,125,73,59,89,161,92,272,141
135,1304053,2,44,4,113,65,124,89,84,141,180,105,165
136,1304052,1,55,8,6,49,124,89,84,181,250,60,71
137,1304052,2,50,8,134,143,76,89,84,62,195,84,141
138,1304051,1,45,25,52,71,147,65,84,55,5,188,141
139,1304051,2,43,25,41,159,178,4,84,154,180,105,141
140,1304050,1,38,47,113,67,196,89,84,104,15,160,234
141,1304050,2,32,47,123,44,142,153,7,162,92,272,227
142,1304049,1,62,8,96,136,111,89,84,62,195,68,232
143,1304049,2,69,8,6,49,187,89,84,107,155,97,122
144,1304048,1,61,4,134,143,124,89,84,73,12,231,141
145,1304048,2,47,4,20,24,27,118,84,218,212,60,71
146,1304047,1,42,47,41,159,7,141,84,13,126,160,141
147,1304047,2,33,47,109,44,153,94,84,55,5,188,141
148,1254117,1,45,10,20,19,32,118,84,101,191,194,148
149,1254117,2,46,10,52,140,124,89,84,73,11,148,46
150,1254116,1,26,40,113,65,83,155,84,218,212,83,55
151,1254116,2,23,40,134,129,168,51,28,76,240,216,233
152,1254115,1,37,40,6,49,4,104,84,55,5,188,141
153,1254115,2,41,40,41,159,7,141,84,62,195,252,141
154,1254114,1,40,10,96,92,158,112,84,13,247,173,141
155,1254114,2,38,10,109,44,153,102,84,174,97,101,141
156,1254113,1,40,40,134,143,65,8,84,73,12,144,120
157,1254113,2,26,40,27,133,27,81,84,218,79,83,198
158,1254112,1,38,40,50,112,164,49,84,76,240,272,141
159,1254112,2,35,40,155,65,124,89,84,141,103,99,141
160,1254111,1,39,10,45,3,4,89,84,216,150,207,199
161,1254111,2,30,10,42,131,93,91,93,62,195,68,141
162,1254110,1,53,10,71,92,158,89,84,55,5,188,141
163,1254110,2,49,10,41,29,7,141,84,81,206,173,141
164,1254109,1,28,10,20,24,27,89,84,162,92,272,228
165,1254109,2,51,10,120,67,160,33,84,73,12,47,13
166,1254108,1,25,10,134,143,16,51,28,141,103,58,141
167,1254108,2,51,10,52,164,147,89,84,218,60,238,21
168,1254107,1,53,40,71,92,124,89,84,157,195,68,169
169,1254107,2,52,40,6,162,62,104,34,81,206,139,141
170,1254106,1,57,40,93,44,124,89,84,162,92,226,233
171,1254106,2,29,40,120,65,83,122,32,6,214,273,196
172,1254105,1,54,10,81,17,124,89,84,55,5,2,152
173,1254105,2,57,10,41,29,124,89,84,73,12,154,43
174,1254104,1,37,10,6,49,177,104,84,181,72,83,55
175,1254104,2,41,10,134,143,76,98,84,157,195,84,61
176,1254103,1,29,10,52,164,147,101,128,6,136,160,114
177,1254103,2,31,10,42,103,93,89,84,141,103,58,141
178,1254102,1,57,10,117,136,111,89,84,76,205,272,227
179,1254102,2,53,10,120,65,160,89,84,81,206,165,122
180,1254101,1,30,10,65,62,134,128,84,55,5,188,141
181,1254101,2,36,10,41,29,124,89,84,181,72,173,141
182,1254100,1,52,10,6,49,177,89,84,31,92,226,141
183,1254100,2,45,10,120,137,83,155,84,157,195,252,169
184,1254099,1,34,48,42,103,153,89,84,81,206,139,87
185,1254099,2,37,48,71,92,158,89,84,216,7,236,199
186,1254098,1,46,48,134,143,16,89,84,86,188,3,141
187,1254098,2,39,48,52,158,147,65,84,58,212,60,141
188,1254097,1,37,48,20,19,156,81,135,4,68,188,141
189,1254097,2,47,48,41,29,124,89,84,73,143,11,205
190,1254096,1,42,48,141,3,141,89,84,111,150,273,196
191,1254096,2,30,48,42,131,93,91,84,160,242,8,141
192,1254095,1,38,48,20,133,17,29,84,154,103,173,141
193,1254095,2,46,48,50,59,124,89,84,73,40,11,17
194,1254094,1,51,10,120,137,66,53,136,181,72,60,141
195,1254094,2,42,10,134,31,16,128,84,31,92,226,153
196,1254093,1,56,40,41,29,178,89,84,160,242,8,214
197,1254093,2,50,40,141,3,141,26,84,4,68,188,141
198,1254092,1,52,40,71,92,158,83,84,2,188,184,91
199,1254092,2,33,40,115,59,137,65,128,81,206,139,141
200,1254091,1,42,40,109,44,124,89,84,58,212,60,95
201,1254091,2,26,40,30,170,16,128,116,216,150,236,197
202,1254090,1,38,40,41,159,178,4,84,31,92,190,189
203,1254090,2,37,40,120,137,94,155,52,4,176,155,141
204,1254089,1,49,48,134,31,76,89,84,81,206,173,141
205,1254089,2,35,48,96,136,111,112,84,181,72,60,141
206,1254088,1,31,48,20,133,27,89,84,157,195,8,141
207,1254088,2,50,48,6,49,124,89,84,73,156,148,43
208,1254087,1,39,48,120,137,94,155,52,157,195,8,141
209,1254087,2,46,48,6,49,177,2,84,31,92,226,174
210,1254086,1,35,26,41,159,7,141,84,123,7,236,141
211,1254086,2,24,26,109,44,126,46,84,4,68,22,126
212,1254085,1,54,1,96,46,124,89,84,11,30,11,120
213,1254085,2,56,1,20,133,27,89,84,81,206,150,141
214,1254084,1,37,1,41,159,98,4,84,141,103,35,141
215,1254084,2,27,1,115,59,137,89,84,4,21,155,141
216,1254083,1,46,26,93,119,153,90,44,35,53,12,13
217,1254083,2,29,26,20,133,194,18,30,123,7,173,141
218,1254082,1,50,26,43,105,158,89,84,31,92,216,189
219,1254082,2,29,26,120,137,94,89,84,127,229,150,159
220,1254081,1,30,1,134,62,168,85,84,55,21,188,141
221,1254081,2,60,1,41,29,184,89,84,181,72,208,141
222,1254080,1,33,1,52,90,140,89,84,157,195,8,141
223,1254080,2,64,1,6,49,124,89,84,2,103,184,168
224,1254079,1,49,26,41,29,184,141,84,157,195,191,141
225,1254079,2,84,26,6,49,4,89,84,55,5,188,218
226,1254078,1,52,26,96,92,124,89,84,141,103,206,2
227,1254078,2,59,26,52,90,140,101,84,81,155,229,141
228,1254077,1,31,23,6,154,62,2,84,2,172,105,165
229,1254077,2,36,23,52,90,140,89,84,157,195,8,141
230,1254076,1,38,47,80,133,31,18,86,213,195,117,141
231,1254076,2,62,47,6,162,124,89,84,44,89,144,120
232,1254075,1,69,47,134,143,18,89,84,13,221,135,9
233,1254075,2,39,47,42,103,5,89,84,218,184,238,19
234,1254074,1,44,23,113,96,83,155,84,55,144,188,141
235,1254074,2,39,23,41,159,178,4,84,76,205,173,141
236,1254073,1,24,47,52,140,109,146,84,44,89,17,120
237,1254073,2,61,47,21,91,124,89,84,141,103,71,2
