,innings,total_run,Venue,batter1,batter2,batter3,batter4,batter5,bowler1,bowler2,bowler3,bowler4
1584,1,55,33,138,100,139,89,84,82,238,221,39
1585,2,41,33,115,16,172,127,90,144,225,56,141
1586,1,57,19,9,28,183,89,84,67,159,32,178
1587,2,56,19,60,83,124,89,84,41,169,274,75
1588,1,38,11,29,61,124,89,84,73,114,6,134
1589,2,34,11,100,145,149,89,84,30,120,253,141
1590,1,43,38,127,41,169,12,84,82,25,136,39
1591,2,31,38,19,125,167,133,45,53,110,173,141
1592,1,53,22,28,6,124,89,84,30,222,253,135
1593,2,48,22,29,61,109,89,84,60,236,178,141
1594,1,22,45,100,129,170,106,84,200,118,96,141
1595,2,38,45,47,110,124,89,84,150,114,6,134
1596,1,48,13,138,100,124,89,84,53,213,140,129
1597,2,44,13,132,115,124,89,84,144,121,243,116
1598,1,53,11,60,98,32,89,84,82,238,136,141
1599,2,66,11,115,16,172,89,84,27,159,146,49
1600,1,48,3,108,132,135,45,84,192,228,222,141
1601,2,56,3,29,61,109,89,84,200,106,125,92
1602,1,36,22,100,129,124,89,84,53,213,113,141
1603,2,34,22,71,144,55,89,84,94,23,6,34
1604,1,47,33,9,28,124,89,84,144,138,18,141
1605,2,43,33,139,151,122,89,84,41,169,168,231
1606,1,59,11,47,110,154,89,84,82,25,136,141
1607,2,55,11,115,142,25,133,84,200,106,106,103
1608,1,58,13,29,61,124,89,84,189,162,167,141
1609,2,45,13,60,83,128,87,84,192,120,253,141
1610,1,47,22,100,7,149,130,84,82,100,136,39
1611,2,50,22,19,57,167,133,84,94,235,6,159
1612,1,46,3,28,6,183,89,84,53,161,240,129
1613,2,48,3,106,41,124,89,84,214,50,168,235
1614,1,40,13,29,61,109,89,84,186,175,251,141
1615,2,52,13,138,141,122,54,84,30,120,253,141
1616,1,53,7,100,129,170,89,84,67,159,32,88
1617,2,57,7,60,83,32,87,38,57,114,25,220
1618,1,59,36,28,6,124,89,84,200,106,209,92
1619,2,35,36,108,110,154,45,84,74,243,178,141
1620,1,63,19,101,118,154,89,84,57,182,121,24
1621,2,32,19,100,7,170,113,77,200,104,125,144
1622,1,32,33,145,28,12,4,84,192,107,253,141
1623,2,48,33,29,140,109,62,84,130,169,269,141
1624,1,65,36,82,129,124,89,84,192,107,225,141
1625,2,49,36,99,29,109,62,48,150,114,6,134
1626,1,41,4,82,7,149,130,98,200,104,96,144
1627,2,61,4,108,110,154,89,84,150,114,6,134
1628,1,41,33,108,22,154,89,84,130,117,274,141
1629,2,46,33,151,158,143,42,84,200,104,147,103
1630,1,33,19,106,41,112,121,84,46,32,196,217
1631,2,65,19,100,129,124,89,84,53,213,242,141
1632,1,50,3,88,151,124,89,84,30,222,253,136
1633,2,35,3,150,29,109,50,84,70,138,250,151
1634,1,46,22,60,83,32,89,84,39,164,48,141
1635,2,59,22,19,148,101,47,84,129,98,32,171
1636,1,42,2,108,110,154,89,84,70,57,250,151
1637,2,45,2,88,151,124,89,84,200,135,106,103
1638,1,47,3,145,28,173,89,84,30,107,225,215
1639,2,50,3,150,29,109,89,84,130,117,269,141
1640,1,36,36,100,129,16,106,77,39,100,48,141
1641,2,26,36,49,82,172,23,101,46,32,121,141
1642,1,26,2,60,83,32,28,82,53,213,242,141
1643,2,32,2,106,41,112,89,84,129,98,32,171
1644,1,53,13,101,118,124,89,84,30,120,170,27
1645,2,57,13,29,61,124,89,84,200,104,19,103
1646,1,45,19,145,28,143,42,84,70,57,250,151
1647,2,57,19,88,151,139,89,84,130,117,274,231
1648,1,59,13,60,83,124,89,84,46,132,196,99
1649,2,62,13,100,129,167,89,84,27,159,116,84
1650,1,46,11,106,41,112,89,84,83,47,171,47
1651,2,45,11,49,82,172,114,84,53,213,173,141
1652,1,55,19,108,110,154,89,84,126,182,121,3
1653,2,39,19,100,129,167,89,84,200,96,106,103
1654,1,32,36,60,83,32,89,84,24,35,127,183
1655,2,50,36,29,61,124,89,84,129,75,32,125
1656,1,54,22,106,41,124,89,84,47,175,243,123
1657,2,45,22,88,151,139,36,108,53,213,140,141
1658,1,32,11,49,82,172,23,101,130,117,134,141
1659,2,59,11,145,28,124,89,84,167,47,48,140
1660,1,21,33,101,118,68,89,84,118,61,167,141
1661,2,45,33,60,83,124,89,84,200,118,106,167
1662,1,25,3,88,151,124,89,84,83,47,171,47
1663,2,50,3,49,168,172,114,84,195,175,56,202
1664,1,51,7,106,41,124,89,84,130,117,274,146
1665,2,65,7,145,28,190,42,84,53,213,242,141
