,ID,Innings,tot_runs_x,batsman1_strike_rate,batsman1_batting_avg,batsman2_strike_rate,batsman2_batting_avg,batsman3_strike_rate,batsman3_batting_avg,batsman4_strike_rate,batsman4_batting_avg,batsman5_strike_rate,batsman5_batting_avg,batsman6_strike_rate,batsman6_batting_avg,bowler1_economy,bowler1_bowling_avg,bowler2_economy,bowler2_bowling_avg,bowler3_economy,bowler3_bowling_avg,bowler4_economy,bowler4_bowling_avg,bowler5_economy,bowler5_bowling_avg,tot_runs_y,Arun Jaitley Stadium,"Arun Jaitley Stadium, Delhi",Barabati Stadium,Brabourne Stadium,"Brabourne Stadium, Mumbai",Buffalo Park,De Beers Diamond Oval,Dr DY Patil Sports Academy,"Dr DY Patil Sports Academy, Mumbai",Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Dubai International Cricket Stadium,Eden Gardens,"Eden Gardens, Kolkata",Feroz Shah Kotla,Green Park,Himachal Pradesh Cricket Association Stadium,Holkar Cricket Stadium,JSCA International Stadium Complex,Kingsmead,M Chinnaswamy Stadium,M.Chinnaswamy Stadium,MA Chidambaram Stadium,"MA Chidambaram Stadium, Chepauk","MA Chidambaram Stadium, Chepauk, Chennai",Maharashtra Cricket Association Stadium,"Maharashtra Cricket Association Stadium, Pune","Narendra Modi Stadium, Ahmedabad",Nehru Stadium,New Wanderers Stadium,Newlands,OUTsurance Oval,Punjab Cricket Association IS Bindra Stadium,"Punjab Cricket Association IS Bindra Stadium, Mohali","Punjab Cricket Association Stadium, Mohali",Rajiv Gandhi International Stadium,"Rajiv Gandhi International Stadium, Uppal","Sardar Patel Stadium, Motera",Saurashtra Cricket Association Stadium,Sawai Mansingh Stadium,Shaheed Veer Narayan Singh International Stadium,Sharjah Cricket Stadium,Sheikh Zayed Stadium,St George's Park,Subrata Roy Sahara Stadium,SuperSport Park,"Vidarbha Cricket Association Stadium, Jamtha",Wankhede Stadium,"Wankhede Stadium, Mumbai","Zayed Cricket Stadium, Abu Dhabi"
0,1312200,1,44,115.0545237057554,30.5,105.5171190834352,30.27272727272728,125.41178130297332,49.2,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,8.055555555555555,19.33333333333333,9.333333333333334,28.0,7.857142857142857,30.55555555555556,7.651933701657459,47.75862068965517,0.5630810213996252,2.442957590058266,46.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1312200,2,31,110.46081606291246,40.09090909090909,104.71890682417,22.6,113.21910425644934,27.77142857142857,77.02075702075702,31.0,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,7.2988505747126435,31.75,8.170454545454545,47.93333333333333,8.03076923076923,32.625,9.569911934599004,44.909385747483846,0.5630810213996252,2.442957590058266,46.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1312199,1,46,84.65920190920191,53.5,112.06102799701122,43.52941176470589,101.37329644052625,37.45614035087719,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,7.2988505747126435,31.75,8.170454545454545,47.93333333333333,143.2242848988499,684.8430829589278,9.569911934599004,44.909385747483846,0.5630810213996252,2.442957590058266,46.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1312199,2,67,115.0545237057554,30.5,105.5171190834352,30.27272727272728,125.41178130297332,49.2,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,8.808080808080808,41.523809523809526,7.452830188679245,32.916666666666664,9.0,45.0,8.923076923076923,116.0,0.5630810213996252,2.442957590058266,46.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1254086,1,39,103.50092539419524,24.163265306122447,109.9431818181818,11.0,50.0,1.0,119.72889157772649,37.0,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,9.5,28.5,7.308056872037914,35.04545454545455,8.195876288659793,31.8,8.275862068965518,30.0,0.5630810213996252,2.442957590058266,46.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1254086,2,63,123.27105957556392,29.71052631578948,108.27256295114648,38.036144578313255,319.36826165115144,103.30395777397756,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,8.23076923076923,53.5,9.842105263157896,93.5,7.651933701657459,47.75862068965517,8.214285714285714,57.5,0.5630810213996252,2.442957590058266,46.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1254083,1,49,109.9431818181818,11.0,112.9144170865236,57.142857142857146,119.72889157772649,37.0,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,7.133333333333334,26.75,8.808080808080808,41.523809523809526,8.941176470588236,38.0,9.569911934599004,44.909385747483846,0.5630810213996252,2.442957590058266,46.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1254083,2,36,84.65920190920191,53.5,101.5529136002946,33.21052631578947,101.37329644052625,37.45614035087719,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,8.23076923076923,53.5,7.651933701657459,47.75862068965517,8.214285714285714,57.5,9.569911934599004,44.909385747483846,0.5630810213996252,2.442957590058266,46.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1254082,1,45,110.46081606291246,40.09090909090909,121.82450138036552,33.869565217391305,98.63062767108045,38.785714285714285,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,7.486111111111111,41.46153846153846,7.308056872037914,35.04545454545455,8.195876288659793,31.8,8.275862068965518,30.0,0.5630810213996252,2.442957590058266,46.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1254082,2,67,123.27105957556392,29.71052631578948,108.27256295114648,38.036144578313255,319.36826165115144,103.30395777397756,65.21735325138592,21.28534301639913,15.38537947561317,5.161332665247806,3.6507371393974397,1.084897327118627,8.170454545454545,47.93333333333333,6.692857142857143,39.04166666666666,8.305555555555555,37.375,7.225806451612903,37.333333333333336,8.42,46.77777777777778,46.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
